Rank,Name,City,State,category,Student_Population,Total_Annual_Cost
327,325,37,23,1,3122.0,54800.0
328,106,16,1,1,5035.0,65308.0
329,107,420,13,1,2311.0,59227.0
330,108,16,1,1,1176.0,39050.0
331,109,419,7,1,1376.0,56554.0
332,110,418,2,1,1946.0,47766.0
333,111,417,1,2,1794.0,34958.0
334,112,416,18,2,10548.0,26055.0
335,105,415,2,2,17875.0,36300.0
336,113,414,12,2,16487.0,38678.0
337,115,12,1,1,16584.0,54714.0
338,116,56,1,1,2271.0,62203.0
339,117,413,33,1,1354.0,60096.0
340,118,412,7,2,20784.0,40036.0
341,119,410,20,2,6466.0,39973.0
342,120,44,36,1,2570.0,47784.0
343,121,400,2,1,1310.0,63767.0
344,114,409,17,1,2214.0,54045.0
345,104,13,8,2,30675.0,51204.0
346,103,408,18,1,2165.0,48110.0
347,102,407,49,2,12397.0,31387.0
348,85,406,6,1,1288.0,53784.0
349,86,405,45,2,21657.0,38398.0
350,87,4,4,1,6283.0,58230.0
351,88,404,3,1,1957.0,61120.0
352,89,31,10,1,3797.0,50350.0
353,90,403,1,1,7978.0,56358.0
354,91,402,1,2,7709.0,34080.0
355,92,4,4,1,4543.0,54071.0
356,93,85,20,1,2117.0,66486.0
357,94,401,4,1,1963.0,49940.0
358,95,374,30,2,25295.0,38686.0
359,96,84,34,1,871.0,55322.0
360,97,277,16,2,6952.0,46834.0
361,98,258,20,2,18484.0,39526.0
362,99,16,1,2,17803.0,34942.0
363,100,162,33,1,2613.0,38834.0
364,101,161,9,2,56718.0,36086.0
365,122,55,14,2,8721.0,34102.0
366,123,159,44,2,22795.0,39696.0
367,124,157,10,1,2140.0,49488.0
368,144,156,18,2,10944.0,27990.0
369,146,155,46,2,14358.0,33478.0
370,147,50,25,1,8543.0,58440.0
371,148,98,11,1,1103.0,50450.0
372,149,154,9,1,6402.0,59650.0
373,150,29,4,1,1382.0,67114.0
374,151,12,1,1,3776.0,47770.0
375,152,152,10,2,1912.0,25942.0
376,145,142,29,1,5472.0,52700.0
377,153,18,3,1,5197.0,45476.0
378,155,151,3,1,1910.0,57390.0
379,156,10,4,1,2481.0,54594.0
380,157,150,4,1,4191.0,57865.0
381,158,149,3,1,2383.0,28504.0
382,159,32,6,1,3168.0,46506.0
383,160,24,1,1,3431.0,49995.0
384,161,93,6,1,4447.0,58700.0
385,154,148,50,2,17612.0,51550.0
386,143,146,7,1,2647.0,53422.0
387,134,145,16,1,1068.0,45920.0
388,142,5,35,1,9392.0,43201.0
389,126,84,15,1,3377.0,51790.0
390,127,144,1,1,3792.0,55864.0
391,128,11,15,1,4642.0,47734.0
392,129,143,39,1,1415.0,48538.0
393,130,163,16,1,2138.0,50632.0
394,131,164,3,1,1766.0,58490.0
395,132,57,10,1,4276.0,49104.0
396,125,165,40,1,2080.0,45458.0
397,133,166,27,2,12839.0,29277.0
398,135,185,24,1,4076.0,48902.0
399,136,184,46,2,14406.0,33017.0
400,137,1,1,1,12986.0,64982.0
401,138,183,34,2,23136.0,40086.0
402,139,1,2,1,1498.0,68993.0
403,140,182,24,1,1692.0,56712.0
404,141,1,4,1,6952.0,63574.0
405,84,180,17,2,11861.0,31872.0
406,83,179,41,2,2009.0,35153.0
407,82,64,1,1,21340.0,59865.0
408,81,178,4,2,18315.0,46983.0
409,24,177,40,2,2885.0,28770.0
410,25,14,14,1,2236.0,59810.0
411,26,1,1,2,16001.0,36674.0
412,27,68,32,1,3703.0,46544.0
413,28,176,42,1,69458.0,12322.0
414,29,175,11,1,4026.0,52980.0
415,30,174,7,1,1640.0,58675.0
416,23,173,2,1,9926.0,52396.0
417,31,172,2,2,25325.0,32311.0
418,33,171,3,2,17306.0,38253.0
419,34,170,11,1,950.0,46500.0
420,35,60,16,1,981.0,54065.0
421,36,7,19,1,7689.0,46076.0
422,37,168,20,2,21013.0,38435.0
423,38,153,24,2,7358.0,42093.0
424,39,141,13,1,1568.0,56750.0
425,32,61,9,2,16531.0,35614.0
426,22,78,2,2,29758.0,38599.0
427,21,118,39,2,16613.0,38121.0
428,20,117,12,1,4951.0,51105.0
429,3,116,2,1,1987.0,61409.0
430,4,115,9,1,2200.0,59200.0
431,5,62,22,2,21402.0,41472.0
432,6,113,34,2,21883.0,38410.0
433,7,71,9,1,8895.0,43708.0
434,8,111,2,2,10327.0,32434.0
435,9,108,42,2,12072.0,37624.0
436,10,107,17,1,1009.0,55954.0
437,11,5,3,1,1424.0,60134.0
438,12,77,5,2,29369.0,36706.0
439,13,106,9,1,4252.0,61374.0
440,14,97,3,1,2446.0,57868.0
441,15,105,6,1,5145.0,48300.0
442,16,57,10,2,11168.0,29542.0
443,17,120,20,2,9216.0,37234.0
444,18,134,29,2,18089.0,45735.0
445,19,133,36,2,29784.0,33264.0
446,40,132,10,1,5754.0,45300.0
447,2,128,14,1,2819.0,55830.0
448,41,127,7,1,2965.0,51228.0
449,43,62,22,1,3757.0,59306.0
450,65,65,1,2,6358.0,33812.0
451,66,125,1,2,12307.0,33818.0
452,67,124,31,1,8798.0,54260.0
453,68,122,3,1,2370.0,59780.0
454,69,103,51,2,28406.0,37712.0
455,70,123,2,1,8159.0,59826.0
456,71,26,28,2,20902.0,36800.0
457,64,129,2,2,9481.0,37914.0
458,72,82,1,1,3464.0,52172.0
459,74,63,1,1,1231.0,44408.0
460,75,31,10,1,3734.0,52178.0
461,76,130,33,1,1648.0,37600.0
462,77,131,5,1,1712.0,60350.0
463,78,26,28,1,1325.0,52414.0
464,79,67,22,1,1710.0,35394.0
465,80,76,8,1,2087.0,59327.0
466,73,23,21,2,24839.0,44114.0
467,63,136,3,1,1865.0,48879.0
468,62,3,16,1,2166.0,51642.0
469,61,137,2,2,31255.0,37622.0
470,44,54,5,1,2053.0,52056.0
471,45,121,40,2,13103.0,26052.0
472,46,104,17,1,1476.0,55240.0
473,47,45,12,2,29131.0,38277.0
474,48,110,2,2,41319.0,34007.0
475,49,70,28,2,9101.0,36881.0
476,50,186,16,1,8653.0,51293.0
477,51,167,30,1,2845.0,45408.0
478,52,188,20,1,5073.0,59700.0
479,53,33,27,1,3759.0,55402.0
480,54,189,9,1,20793.0,49149.0
481,55,252,13,2,25049.0,29314.0
482,56,72,9,2,31454.0,35804.0
483,57,249,17,1,1243.0,43650.0
484,58,187,24,1,3893.0,57488.0
485,59,73,12,2,29317.0,37081.0
486,60,247,15,2,10504.0,42377.0
487,162,245,11,2,22513.0,40448.0
488,42,234,7,1,3481.0,50000.0
489,163,1,1,1,11908.0,35111.0
490,205,1,1,2,15583.0,41261.0
491,269,1,1,2,15231.0,34532.0
492,270,242,2,2,16538.0,36990.0
493,271,240,40,2,10261.0,25521.0
494,272,52,12,2,4429.0,36638.0
495,273,79,5,1,6781.0,33954.0
496,274,236,17,1,1695.0,50180.0
497,275,7,19,2,17095.0,40607.0
498,268,235,9,1,3055.0,49900.0
499,276,2,2,2,28531.0,36726.0
500,278,253,2,2,20692.0,36127.0
501,279,244,6,2,46497.0,39860.0
502,280,31,10,1,3702.0,43404.0
503,281,266,13,1,3069.0,47482.0
504,282,30,34,1,5036.0,32385.0
505,283,274,16,2,20811.0,28094.0
506,284,7,19,1,12736.0,44962.0
507,277,69,6,2,38276.0,33908.0
508,267,273,6,2,38666.0,34245.0
509,266,272,31,2,11240.0,43618.0
510,265,271,17,1,1433.0,50547.0
511,248,21,15,1,2157.0,44430.0
512,249,270,1,1,2690.0,54780.0
513,250,3,16,2,32816.0,40873.0
514,251,269,19,1,1082.0,47928.0
515,252,268,38,2,31051.0,40705.0
516,253,267,3,1,1289.0,49546.0
517,254,54,19,2,23697.0,28502.0
518,255,53,32,2,15731.0,34522.0
519,256,265,9,2,15317.0,39434.0
520,257,35,12,1,1980.0,49324.0
521,258,264,42,1,999.0,41347.0
522,259,263,18,1,3452.0,44150.0
523,260,262,8,2,24375.0,43444.0
524,261,2,2,1,3226.0,59392.0
525,262,261,13,1,3300.0,39714.0
526,263,72,9,1,3010.0,55923.0
527,264,67,5,1,3791.0,46004.0
528,285,275,5,1,2936.0,46390.0
529,286,4,4,2,16415.0,46941.0
530,287,73,12,1,2507.0,48776.0
531,307,257,10,2,15273.0,28278.0
532,309,20,24,2,27483.0,43989.0
533,310,233,19,1,972.0,40510.0
534,311,232,21,2,13399.0,35653.0
535,312,231,18,1,813.0,52341.0
536,313,208,5,1,1220.0,50104.0
537,314,70,6,2,20938.0,31784.0
538,315,25,6,1,3649.0,44490.0
539,308,61,7,1,987.0,42830.0
540,316,206,23,2,15944.0,36708.0
541,318,205,32,1,1072.0,46710.0
542,319,204,25,1,6561.0,54662.0
543,320,203,14,1,2112.0,54840.0
544,321,22,21,2,14122.0,36298.0
545,322,34,10,1,4724.0,50716.0
546,323,201,20,1,7846.0,56618.0
547,324,200,3,2,7915.0,38569.0
548,317,198,45,2,30471.0,37639.0
549,306,19,18,1,1198.0,41996.0
550,297,49,8,1,691.0,54225.0
551,305,56,1,2,15245.0,39124.0
552,289,197,2,1,2394.0,46770.0
553,290,194,3,1,2481.0,45960.0
554,291,193,3,1,1404.0,53870.0
555,292,192,27,2,17556.0,38503.0
556,293,191,11,1,1321.0,37296.0
557,294,190,8,1,790.0,54205.0
558,295,209,7,1,5100.0,48016.0
559,288,47,12,2,19922.0,35818.0
560,296,222,3,1,2469.0,52030.0
561,298,229,32,1,1227.0,43527.0
562,299,228,16,2,20418.0,33646.0
563,300,227,7,2,13796.0,37774.0
564,301,43,13,2,22869.0,27895.0
565,302,226,22,1,1990.0,40575.0
566,303,12,13,2,19333.0,36581.0
567,304,225,41,2,26221.0,36736.0
568,247,224,3,2,9729.0,35750.0
569,246,223,42,2,24121.0,37248.0
570,245,212,31,1,390.0,54969.0
571,244,219,6,2,27809.0,29995.0
572,187,218,15,1,1247.0,49266.0
573,188,81,30,1,3919.0,41054.0
574,189,215,47,2,11866.0,32563.0
575,190,79,8,1,1491.0,54180.0
576,191,214,39,2,2155.0,35755.0
577,192,213,41,1,386.0,65456.0
578,193,75,11,2,29791.0,43022.0
579,186,65,1,1,1435.0,57627.0
580,194,140,1,1,2354.0,43686.0
581,196,216,30,1,2093.0,39840.0
582,197,217,13,1,1484.0,52475.0
583,198,220,10,2,15955.0,28920.0
584,199,42,5,1,3384.0,48674.0
585,200,49,8,1,75044.0,38364.0
586,201,41,1,1,2525.0,45397.0
587,202,39,26,1,1478.0,34190.0
588,195,3,16,1,1589.0,53490.0
589,185,221,13,2,23257.0,35236.0
590,184,19,18,2,24988.0,35510.0
591,183,86,5,2,17357.0,32105.0
592,166,69,6,2,15473.0,29683.0
593,167,230,5,1,2257.0,42725.0
594,168,211,17,1,1039.0,45900.0
595,169,210,18,1,2940.0,57250.0
596,170,195,27,1,588.0,53000.0
597,171,196,44,2,15075.0,32716.0
598,172,92,7,1,5833.0,37028.0
599,173,58,22,1,1767.0,50086.0
600,174,86,22,2,21431.0,36806.0
601,175,199,13,2,27064.0,40763.0
602,176,202,21,2,3343.0,35144.0
603,177,17,29,2,8318.0,35465.0
604,178,207,36,2,32248.0,29912.0
605,179,91,12,1,984.0,46080.0
606,180,255,6,2,25078.0,36955.0
607,181,102,28,1,1485.0,55168.0
608,182,259,8,1,406.0,54155.0
609,203,260,5,2,20579.0,34375.0
610,165,256,39,2,11865.0,38356.0
611,204,254,27,2,16512.0,34155.0
612,206,102,28,2,15569.0,28210.0
613,228,237,22,2,10012.0,37870.0
614,229,238,11,1,1961.0,43450.0
615,230,239,9,2,13040.0,31895.0
616,231,33,27,2,8082.0,28568.0
617,232,241,3,2,12431.0,32461.0
618,233,243,26,1,2565.0,36000.0
619,234,25,6,2,30768.0,34484.0
620,227,60,7,1,2132.0,47664.0
621,235,246,7,2,18045.0,38314.0
622,237,83,5,2,16371.0,30825.0
623,238,248,2,2,8602.0,36601.0
624,239,250,7,1,1205.0,47970.0
625,240,16,1,1,2745.0,44488.0
626,241,251,1,1,1135.0,55050.0
627,242,119,34,2,14478.0,24883.0
628,243,109,33,1,705.0,39120.0
629,236,138,7,2,14554.0,42770.0
630,226,135,5,2,28972.0,34046.0
631,225,139,15,2,23050.0,40458.0
632,224,52,12,1,695.0,49744.0
633,207,126,22,2,14456.0,32136.0
634,208,112,7,2,9656.0,25835.0
635,209,114,47,2,23824.0,39902.0
636,210,169,21,2,3925.0,36843.0
637,211,181,37,1,390.0,55625.0
638,212,36,5,2,15957.0,32506.0
639,213,147,5,1,1221.0,47757.0
640,214,21,15,2,21521.0,36372.0
641,215,13,22,2,16612.0,31978.0
642,216,11,15,1,738.0,37070.0
643,217,47,12,1,2050.0,50813.0
644,218,158,15,1,2514.0,40640.0
645,219,3,16,1,2219.0,48723.0
646,220,160,41,2,14432.0,34720.0
647,221,38,11,2,13763.0,32938.0
648,222,469,8,1,1226.0,48100.0
649,223,92,1,1,516.0,55180.0
650,650,55,12,1,1463.0,44921.0
